brand_name,generic_name,manufacturer_name,product_ndc,route,product_type,rxcui,stock_quantity
Allergies,"APIS MELLIFICA, ECHINACEA, HYDRASTIS CANADENSIS, TARAXACUM OFFICINALE, ACONITUM NAPELLUS, AETHUSA CYNAPIUM, AGARICUS MUSCARIUS, ALETRIS FARINOSA, ALFALFA, ALLIUM CEPA, ALLIUM SATIVUM, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, ARTEMISIA VULGARIS, ARUNDO MAURITANICA, AVENA SATIVA, BELLADONNA, BELLIS PERRENIS, BOVISTA, BROMIUM, BRYONIA, CAFFEINUM, CALCAREA CARBONICA, CALLUNA VULGARIS, FLOS, CAPSICUM ANNUUM, CAT HAIR, CHAMOMILLA, CHELIDONIUM MAJUS, CHENOPODIUM ANTHELMINTICUM, CINNAMOMUM","Newton Laboratories, Inc.",55714-2584,ORAL,HUMAN OTC DRUG,,26
Allergies,"APIS MELLIFICA, ECHINACEA, HYDRASTIS CANADENSIS, TARAXACUM OFFICINALE, ACONITUM NAPELLUS, AETHUSA CYNAPIUM, AGARICUS MUSCARIUS, ALETRIS FARINOSA, ALFALFA, ALLIUM CEPA, ALLIUM SATIVUM, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, ARTEMISIA VULGARIS, ARUNDO MAURITANICA, AVENA SATIVA, BELLADONNA, BELLIS PERRENIS, BOVISTA, BROMIUM, BRYONIA, CAFFEINUM, CALCAREA CARBONICA, CALLUNA VULGARIS, FLOS, CAPSICUM ANNUUM, CAT HAIR, CHAMOMILLA, CHELIDONIUM MAJUS, CHENOPODIUM ANTHELMINTICUM, CINNAMOMUM","Newton Laboratories, Inc.",55714-2585,ORAL,HUMAN OTC DRUG,,39
VERUCIDE WART REMOVER Kit,WART REMOVER,Blaine Labs Inc.,63347-720,,HUMAN OTC DRUG,312881,65
RET Kidney 7005,RET KIDNEY,Professional Complementary Health Formulas,63083-7005,ORAL,HUMAN OTC DRUG,,32
NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,Direct Rx,61919-171,ORAL,HUMAN PRESCRIPTION DRUG,198045,41
Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,Aurobindo Pharma Limited,65862-224,ORAL,HUMAN PRESCRIPTION DRUG,861064,19
T-Relief Extra Strength,"CALENDULA OFFICINALIS FLOWERING TOP, MATRICARIA RECUTITA, HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK, ACHILLEA MILLEFOLIUM, RUTA GRAVEOLENS FLOWERING TOP, COMFREY ROOT, ACONITUM NAPELLUS, ECHINACEA, UNSPECIFIED, BAPTISIA TINCTORIA ROOT, ATROPA BELLADONNA, ARNICA MONTANA, BELLIS PERENNIS AND HYPERICUM PERFORATUM",MediNatura Inc,62795-2010,ORAL,HUMAN OTC DRUG,,10
MEB Puri-Mega,MEB PURI-MEGA,"Kadesh Incoporation Co,Ltd",81488-012,ORAL,HUMAN OTC DRUG,,83
Pain Relief PM,"ACETAMINOPHEN, DIPHENHYDRAMINE","Pioneer Life Sciences, LLC",72090-032,ORAL,HUMAN OTC DRUG,1092189,94
Rocuronium Bromide,ROCURONIUM BROMIDE,Sagent Pharmaceuticals,25021-687,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1234995,79
Sodium Nitroprusside,SODIUM NITROPRUSSIDE,BE Pharmaceuticals Inc.,71839-120,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,240793,60
DERLADIE HerbalExtract BodySolution MIST,NIACINAMIDE,LAON COMMERCE co ltd,82083-0023,VAGINAL,HUMAN OTC DRUG,,91
Nabumetone,NABUMETONE,Bryant Ranch Prepack,71335-1272,ORAL,HUMAN PRESCRIPTION DRUG,311893,44
Walgreens Dandruff Maximum Strength Anti-dandruff,SELENIUM SULFIDE,Walgreen Company,0363-4139,TOPICAL,HUMAN OTC DRUG,204642,1
Staphysagria,DELPHINIUM STAPHISAGRIA SEED,SEVENE USA,76472-1164,SUBLINGUAL,HUMAN OTC DRUG,,18
Sodium Chloride,SODIUM CHLORIDE,"Hospira, Inc.",0409-6660,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1807578,64
Famotidine,FAMOTIDINE,"Wal-Mart Stores, Inc.",49035-589,ORAL,HUMAN OTC DRUG,199047,67
Paliperidone,PALIPERIDONE,AvKARE,42291-915,ORAL,HUMAN PRESCRIPTION DRUG,672567,92
First Aid Beauty FAB Acne Spot Treatment,SALICYLIC ACID,The Procter & Gamble Manufacturing Company,69423-724,TOPICAL,HUMAN OTC DRUG,346298,34
Herklin Lice Treatment,"PIPERONYL BUTOXIDE, PYRETHRUM EXTRACT",MarcasUSA LLC,75940-192,TOPICAL,HUMAN OTC DRUG,283219,17
FemiClear Infection Protection,VAGINAL CREAM,"OrganiCare Nature's Science, LLC",71042-028,TOPICAL,HUMAN OTC DRUG,,48
Premier Value,COUGH DROPS BLACK CHERRY SUGAR FREE,Pharmacy Value Alliance LLC,68016-886,ORAL,HUMAN OTC DRUG,476973,5
Premier Value,COUGH DROPS CHERRY,Pharmacy Value Alliance LLC,68016-883,ORAL,HUMAN OTC DRUG,476973,53
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,"PD-Rx Pharmaceuticals, Inc.",72789-057,ORAL,HUMAN PRESCRIPTION DRUG,312504,87
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,A-S Medication Solutions,50090-7517,TOPICAL,HUMAN PRESCRIPTION DRUG,848180,25
HealthWise Pain Relief Lidocaine Patch,LIDOCAINE 4%,Veridian Healthcare,71101-002,TOPICAL,HUMAN OTC DRUG,1737778,57
VICKS ZzzQuil NIGHTTIME SLEEP-AID Diphenhydramine HCl FREE OF,DIPHENHYDRAMINE HYDROCHLORIDE,The Procter & Gamble Manufacturing Company,69423-795,ORAL,HUMAN OTC DRUG,1248354,59
Metoprolol Succinate,METOPROLOL SUCCINATE ER TABLETS,Bryant Ranch Prepack,72162-1859,ORAL,HUMAN PRESCRIPTION DRUG,866419,97
Baby Mineral Sunscreen SPF55,ZINC OXIDE,Hello Bello,73418-100,TOPICAL,HUMAN OTC DRUG,,61
Duloxetine,DULOXETINE HYDROCHLORIDE,ST. MARY'S MEDICAL PARK PHARMACY,60760-951,ORAL,HUMAN PRESCRIPTION DRUG,596930,66
Baby Mineral Sunscreen Probiotics SPF55,ZINC OXIDE,Hello Bello,73418-101,TOPICAL,HUMAN OTC DRUG,,41
Meijer Lice Killing,"PIPERONYL BUTOXIDE, PYRETHRUM EXTRACT","Meijer, Inc.",79481-2530,TOPICAL,HUMAN OTC DRUG,283219,12
Premier Value,COUGH DROPS HONEY LEMON,Pharmacy Value Alliance LLC,68016-884,ORAL,HUMAN OTC DRUG,1250189,62
Premier Value,COUGH DROPS MENTHOL,Pharmacy Value Alliance LLC,68016-885,ORAL,HUMAN OTC DRUG,485287,22
Candee Caine Topical Anesthetic,BENZOCAINE,"American Medical & Hospital Supply Co., Inc.",71922-105,DENTAL,HUMAN OTC DRUG,238910,29
Primidone,PRIMIDONE,"PD-Rx Pharmaceuticals, Inc.",72789-177,ORAL,HUMAN PRESCRIPTION DRUG,96304,42
Octreotide Acetate,OCTREOTIDE ACETATE,"Meitheal Pharmaceuticals, Inc.",71288-566,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,312068,11
anti diarrheal,LOPERAMIDE HCL,H E B,37808-449,ORAL,HUMAN OTC DRUG,1250685,62
Ursodiol,URSODIOL,Bryant Ranch Prepack,63629-1173,ORAL,HUMAN PRESCRIPTION DRUG,858747,65
Gas Relief Extra Strength,SIMETHICONE,BJWC (Berkley & Jensen / BJ's),68391-597,ORAL,HUMAN OTC DRUG,198852,65
Bach Original Flower Remedies,SALIX ALBA WHOLE,Nelson Bach USA Limited,57687-287,ORAL,HUMAN OTC DRUG,,56
CIMETIDINE,CIMETIDINE,"Chartwell RX, LLC",62135-630,ORAL,HUMAN PRESCRIPTION DRUG,197505,45
Loperamide Hydrochloride and Simethicone,LOPERAMIDE HYDROCHLORIDE AND SIMETHICONE,FSA store INC,81522-325,ORAL,HUMAN OTC DRUG,978001,38
Cold plus Flu Congestion Severe,"ACETAMINOPHEN, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE","CHAIN DRUG MARKETING ASSOCIATION, INC.",83324-114,ORAL,HUMAN OTC DRUG,1243679,68
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Bryant Ranch Prepack,63629-4470,ORAL,HUMAN PRESCRIPTION DRUG,,17
ICOSAPENT ETHYL,ICOSAPENT ETHYL,"XLCare Pharmaceuticals, Inc.",72865-289,ORAL,HUMAN PRESCRIPTION DRUG,1304979,47
Sinus Severe,"ACETAMINOPHEN, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE",CHAIN DRUG CONSORTIUM,68016-504,ORAL,HUMAN OTC DRUG,1243679,7
SPRINSOL,CHLORPHENIRAMINE MALEATE,FORTUNE PHARMACAL COMPANY LIMITED,51467-101,ORAL,HUMAN OTC DRUG,1363309,43
Solvent/Small Ring Combination 9317,SOLVENT/SMALL RING COMBINATION,Professional Complementary Health Formulas,63083-9317,ORAL,HUMAN OTC DRUG,,46
Oxygen,OXYGEN,Browning's Pharmacy and Health Care Inc.,58755-001,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,312172,100
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Preferred Pharmaceuticals Inc.,68788-6889,ORAL,HUMAN PRESCRIPTION DRUG,898723,32
Stomach Relief,BISMUTH SUBSALICYLATE,PuraCap Pharmaceutical LLC,51013-321,ORAL,HUMAN OTC DRUG,308761,41
Pseudoephedrine Hydrochloride,PSEUDOEPHEDRINE HYDROCHLORIDE,Safeway Inc.,21130-204,ORAL,HUMAN OTC DRUG,1049154,89
Furosemide,FUROSEMIDE,Bryant Ranch Prepack,63629-1120,ORAL,HUMAN PRESCRIPTION DRUG,197732,92
No7 Protect and Perfect Intense Advanced All in One Foundation SPF 50 Cameo,"OCTINOXATE, TITANIUM DIOIXIDE, OCTISALATE",BCM Cosmetique SAS,61589-0241,TOPICAL,HUMAN OTC DRUG,,55
XENPOZYME,OLIPUDASE ALFA-RPCP,Genzyme Corporation,58468-0050,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,2610411,31
COLTALIN,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HYDROCHLORIDE",FORTUNE PHARMACAL COMPANY LIMITED,51467-005,ORAL,HUMAN OTC DRUG,1046781,48
Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,A-S Medication Solutions,50090-6931,ORAL,HUMAN PRESCRIPTION DRUG,429503,11
esmolol hydrochloride in sodium chloride,ESMOLOL HYDROCHLORIDE IN SODIUM CHLORIDE,Mylan Institutional LLC,67457-657,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,979432,70
D-68,"CROTON OIL, DAPHNE MEZEREUM BARK, SODIUM CHLORIDE, AND TOXICODENDRON PUBESCENS LEAF","DNA Labs, Inc.",58264-0068,SUBLINGUAL,HUMAN OTC DRUG,,84
Acyclovir,ACYCLOVIR,Bryant Ranch Prepack,71335-1290,ORAL,HUMAN PRESCRIPTION DRUG,197310,97
Levetiracetam,LEVETIRACETAM,A-S Medication Solutions,50090-7774,ORAL,HUMAN PRESCRIPTION DRUG,311288,92
Mucus Relief,GUAIFENESIN,"Aphena Pharma Solutions - Tennessee, LLC",71610-499,ORAL,HUMAN OTC DRUG,636522,76
WinCo Maximum Strength Triple Antibiotic,"BACITRACIN ZINC, NEOMYCIN SULFATE, POYMYXIN B SULFATE, AND PRAMOXINE HYDROCHRLORIDE","WinCo Foods, LLC",67091-272,TOPICAL,HUMAN OTC DRUG,1359350,7
Amoxicillin and Clavulanate Potassium,AMOXICILLIN AND CLAVULANATE POTASSIUM,Proficient Rx LP,63187-803,ORAL,HUMAN PRESCRIPTION DRUG,617296,13
Pepto-Bismol,BISMUTH SUBSALICYLATE,ASCLEMED USA INC.,76420-490,ORAL,HUMAN OTC DRUG,308760,67
Nyamyc,NYSTATIN,"Upsher-Smith Laboratories, LLC",0832-0465,TOPICAL,HUMAN PRESCRIPTION DRUG,584414,89
Acne Calming Water Cream,SALICYLIC ACID,"e.l.f. Cosmetics, Inc.",76354-416,TOPICAL,HUMAN OTC DRUG,417424,44
Gabapentin,GABAPENTIN,Bryant Ranch Prepack,71335-1093,ORAL,HUMAN PRESCRIPTION DRUG,310431,33
Finasteride,FINASTERIDE,"Rising Pharma Holdings, Inc.",57237-061,ORAL,HUMAN PRESCRIPTION DRUG,200172,79
Salicylic acid,WART REMOVER,Rite Aid Corporation,11822-0134,TOPICAL,HUMAN OTC DRUG,240559,66
Povidone Iodine Impregnated,POVIDONE IODINE,"Jianerkang Medical Co., Ltd",34645-1030,TOPICAL,HUMAN OTC DRUG,,28
Prednisone delayed release,PREDNISONE,Dr. Reddys Laboratories Inc.,43598-886,ORAL,HUMAN PRESCRIPTION DRUG,1303125,28
Omeprazole,OMEPRAZOLE,CVS Pharmacy,69842-791,ORAL,HUMAN OTC DRUG,2003656,47
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,Bryant Ranch Prepack,63629-9165,ORAL,HUMAN PRESCRIPTION DRUG,904481,76
Sun Bum SPF 15 Premium Moisturizing Sunscreen,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","Sun Bum, LLC",69039-224,TOPICAL,HUMAN OTC DRUG,,51
Good Neighbor Pharmacy Childrens Allergy,DIPHENHYDRAMINE HYDROCHLORIDE,Preferred Pharmaceuticals Inc.,68788-7994,ORAL,HUMAN OTC DRUG,1049906,65
Colgate Max Fresh Advanced Whitening,SODIUM FLUORIDE,Colgate-Palmolive Company,35000-899,DENTAL,HUMAN OTC DRUG,416783,67
tizanidine,TIZANIDINE,Apotex Corp.,60505-0251,ORAL,HUMAN PRESCRIPTION DRUG,313412,48
MegaBabe Butt Stuff Hemorrhoidal,"COCOA BUTTER, GLYCERIN, LIDOCAINE, PETROLATUM, PHENYLEPHRINE HYDROCHLORIDE","MEGABABE, LLC",84000-502,TOPICAL,HUMAN OTC DRUG,,63
Colgate Essentials,SODIUM MONOFLUOROPHOSPHATE,Mission Hills S.A de C.V,65954-786,DENTAL,HUMAN OTC DRUG,545626,31
Nystatin,NYSTATIN,"Taro Pharmaceuticals U.S.A., Inc.",51672-4117,ORAL,HUMAN PRESCRIPTION DRUG,312055,94
TOPCARE Multi Symptom Flu Relief Combo Pack,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, AND ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR","Topco Associates, LLC",76162-559,,HUMAN OTC DRUG,2636656,64
PS-2362 Hand Sanitizer 0.9g packet,PS-2362 HAND SANITIZER 0.9G PACKET,ProStat First Aid LLC,58228-2362,TOPICAL,HUMAN OTC DRUG,581662,56
La Roche Posay Laboratoire Dermatologique Cicaplast Defense B5,GLYCERIN,Cosmetique Active Production,69625-587,TOPICAL,HUMAN OTC DRUG,,13
PostDay One-Step,LEVONORGESTREL,"Home Health Brands, LLC",85506-100,ORAL,HUMAN OTC DRUG,483325,46
Lancome Paris Renergie HPN 300 Peptide Broad Spectrum SPF 25 Sunscreen,"AVOBENZONE, OCTISALATE AND OCTOCRYLENE",SICOS ET CIE,51150-240,TOPICAL,HUMAN OTC DRUG,,82
Dyural 40 Kit,"METHYLPREDNISOLONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, SODIUM CHLORIDE, ISOPROPYL ALCOHOL","Advanced Rx Pharmacy of Tennessee, LLC",80425-0348,EPIDURAL,HUMAN PRESCRIPTION DRUG,797544,3
Dyural 80 Kit,"METHYLPREDNISOLONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, SODIUM CHLORIDE, ISOPROPYL ALCOHOL","Advanced Rx Pharmacy of Tennessee, LLC",80425-0349,EPIDURAL,HUMAN PRESCRIPTION DRUG,797544,98
Dyural 80-LM,"METHYLPREDNISOLONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, ISOPROPYL ALCOHOL","Advanced Rx Pharmacy of Tennessee, LLC",80425-0350,EPIDURAL,HUMAN PRESCRIPTION DRUG,797544,40
Lidocaine,LIDOCAINE,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0351,TOPICAL,HUMAN OTC DRUG,1421893,58
Loratadine,LORATADINE,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0352,ORAL,HUMAN OTC DRUG,311372,10
TheraCare Hydrocortisone Cream,HYDROCORTISONE,Veridian Healthcare,71101-220,TOPICAL,HUMAN OTC DRUG,106258,74
Bupivilog Kit,"MARCAINE, KENALOG, POVIDONE IODINE","Advanced Rx of Tennessee, LLC",80425-0353,EPIDURAL,HUMAN PRESCRIPTION DRUG,797730,94
Mineral Sunscreen SPF 50,ZINC OXIDE,Hello Bello,73418-102,TOPICAL,HUMAN OTC DRUG,,4
Kids Face and Body Sunscreen SPF 50,ZINC OXIDE,Hello Bello,73418-103,TOPICAL,HUMAN OTC DRUG,,35
Kids Mineral Sunscreen SPF50,SUNSCREEN,Hello Bello,73418-105,TOPICAL,HUMAN OTC DRUG,,13
Stomach Spleen Meridian Opener,"ARSENICUM ALBUM, CALCAREA CARBONICA, CARDUUS MARIANUS, CEANOTHUS AMERICANUS, CINCHONA OFFICINALIS, DIGITALIS PURPUREA, IGNATIA AMARA, KALI BICHROMICUM, LYCOPODIUM CLAVATUM, PHOSPHORUS, PLUMBUM METALLICUM, PULSATILLA (PRATENSIS), RANUNCULUS BULBOSUS, VERATRUM VIRIDE","Desert Biologicals, Inc.",43742-1572,ORAL,HUMAN OTC DRUG,,37
Cortizone 10 Fast Acting Itch Relief Cooling,HYDROCORTISONE,"Chattem, Inc.",41167-0343,TOPICAL,HUMAN OTC DRUG,212567,26
Artistry Youth Xtend Lifting Smoothing Foundation Shade Natural L2N2,"OCTINOXATE, OXYBENZONE",Amway Corp,50390-241,TOPICAL,HUMAN OTC DRUG,,17
Dr.Jart Cicapair Tiger Grass Camo Drops,"ZINC OXIDE, TITANIUM DIOXIDE","Have & Be Co., Ltd.",49404-305,TOPICAL,HUMAN OTC DRUG,,13
Dexamethasone,DEXAMETHASONE,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0346,ORAL,HUMAN PRESCRIPTION DRUG,197580,63
DR.JART CICAPAIR TIGER GRASS COLOR CORRECTING TREATMENT,"ZINC OXIDE, TITANIUM DIOXIDE","Have & Be Co., Ltd.",49404-300,TOPICAL,HUMAN OTC DRUG,,21
All Day Allergy,CETIRIZINE HCL,Care One (American Sales Company),41520-212,ORAL,HUMAN OTC DRUG,1014675,75
SM SWABALPHA,ISOPROPYL ALCOHOL,Borami,83601-0001,TOPICAL,HUMAN OTC DRUG,797544,47
Chlordiazepoxide Hydrochloride and Clidinium Bromide,CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE,Bryant Ranch Prepack,63629-8859,ORAL,HUMAN PRESCRIPTION DRUG,889614,0
Vascu-Pro T009,"CACTUS GRANDIFLORUS, HAMAMELIS VIRGINIANA, VALERIANA OFFICINALIS, ARTERIA SUIS, HEART (SUIS), ARNICA MONTANA, AURUM METALLICUM, BARYTA MURIATICA, CHOLESTERINUM, LECITHIN, MAGNESIA MURIATICA, OXALICUM ACIDUM, PHOSPHORUS","Guangzhou Renuma Medical Systems Co., Ltd",71742-0003,ORAL,HUMAN OTC DRUG,,75
Pain Relieving Lidocaine Patch,LIDOCAINE,InterMed Laboratories Private Limited,71811-003,TOPICAL,HUMAN OTC DRUG,1737778,57
Gelato APF,SODIUM FLUORIDE,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",68400-108,DENTAL,HUMAN PRESCRIPTION DRUG,245593,35
DYE-FREE CHILDRENS LORATADINE,LORATADINE,"WAL-MART STORES, INC",79903-008,ORAL,HUMAN OTC DRUG,665078,61
Flucytosine,FLUCYTOSINE,Major Pharmaceuticals,0904-6834,ORAL,HUMAN PRESCRIPTION DRUG,197702,78
ANIMAL ANTIGEN,"FELISCATUSHAIR,BOSTAURUSHAIR,BOSTAURUSSKIN,GALLUSGALLUSFEATHER,CANISLUPUSFAMILIARISSKIN,CANISFAMILIARISHAIR,ANASPLATYRHYNCHOSFEATHER,ANSERANSERFEATHER,CAVIAPORCELLUSHAIR,CAVIAPORCELLUSSKIN,MESOCRICETUSAURATUSHAIR,MESOCRICETUSAURATUSSKIN,SUSSCROFAHAIR,SUSSCROFASKIN,EQUUSCABALLUSHAIR,EQUUSCABALLUSDANDER,MUSMUSCULUSHAIR,MUSMUSCULUASSKIN,ORYCTOLAGUSCUNICULUSSKIN,ORYCTOLAGUSCUNICULUSHAIR,OVISARIESWHOLE,MELEAGRISGALLOPAVOFEATHER,ARSENICTRIOXIDE,BLATTAORIENTALIS,STRYCHNOSNUX-VOMICASEED,PHOSPHORUS,PULSATILLA,SULFUR","Natural Creations, Inc.",43406-0128,ORAL,HUMAN PRESCRIPTION DRUG,,92
Ramipril,RAMIPRIL,Proficient Rx LP,63187-073,ORAL,HUMAN PRESCRIPTION DRUG,198189,69
Imodium A-D,LOPERAMIDE HYDROCHLORIDE,Kenvue Brands LLC,50580-317,ORAL,HUMAN OTC DRUG,978010,81
Nicorette Fruit Chill nicotine polacrilex,NICOTINE,"Lil' Drug Store Products, Inc.",29485-5270,ORAL,HUMAN OTC DRUG,105071,69
Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,Camber Pharmaceuticals Inc,31722-484,ORAL,HUMAN PRESCRIPTION DRUG,1049611,11
Prucalopride,PRUCALOPRIDE,Apotex Corp.,60505-4806,ORAL,HUMAN PRESCRIPTION DRUG,2107345,72
G.M. Collin FPS-SPF 45 UVA-UVB TINTED SUNSCREEN,"ZINC OXIDE, TITANIUM DIOXIDE",LABORATOIRES DERMO-COSMETIK INC.,64127-244,TOPICAL,HUMAN OTC DRUG,,61
Acid Reflux Relief,"CAPSICUM, SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE, STRYCHNOS NUX-VOMICA SEED, ROBINIA PSEUDOACACIA BARK, SULFUR, SEPIA OFFICINALIS JUICE",Homeocare Laboratories,61727-331,SUBLINGUAL,HUMAN OTC DRUG,,57
Fluconazole,FLUCONAZOLE,"NuCare Pharmaceuticals,Inc.",68071-3474,ORAL,HUMAN PRESCRIPTION DRUG,197699,97
Barrier Balm,BARRIER BALM,"Autumn Harp, Inc.",51514-0363,TOPICAL,HUMAN OTC DRUG,2665902,44
sodium nitroprusside,SODIUM NITROPRUSSIDE,"Slate Run Pharmaceuticals, LLC",70436-028,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,240793,100
RAMELTEON,RAMELTEON,Aurobindo Pharma Limited,59651-505,ORAL,HUMAN PRESCRIPTION DRUG,577348,13
Secret Clinical Clear Clean Lavender,ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY,The Procter & Gamble Manufacturing Company,69423-725,TOPICAL,HUMAN OTC DRUG,,5
Stiolto Respimat,TIOTROPIUM BROMIDE AND OLODATEROL,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0155,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,1651266,80
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,"NuCare Pharmaceuticals,Inc.",68071-3475,ORAL,HUMAN PRESCRIPTION DRUG,828320,5
Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE",PUBLIX SUPER MARKETS INC,56062-198,ORAL,HUMAN OTC DRUG,1110988,98
DK12 Liquid Hand Oatmeal,BENZALKONIUM CHLORIDE 0.13%,"Industria La Popular, S.A.",62476-006,TOPICAL,HUMAN OTC DRUG,1046593,97
EQUATE PAIN RELIEVING PATCHES,LIDOCAINE 4%,"WALMART, INC",79903-197,TOPICAL,HUMAN OTC DRUG,1737778,5
Equate Rub,"CAMPHOR, EUCALYPTUS OIL, MENTHOL",Walmart Inc,79903-194,TOPICAL,HUMAN OTC DRUG,727137,11
DK12 Liquid Hand Fresh Energy,BENZALKONIUM CHLORIDE 0.13%,"Industria La Popular, S.A.",62476-007,TOPICAL,HUMAN OTC DRUG,1046593,15
MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,"Sun Pharmaceutical Industries, Inc.",62756-091,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1000153,95
Cannarelief 1000mg,MENTHOL,Carolina Cannabis Creations LLC,82876-010,TOPICAL,HUMAN OTC DRUG,,25
DK12 Liquid Hand Creamy,BENZALKONIUM CHLORIDE 0.13%,"Industria La Popular, S.A.",62476-008,TOPICAL,HUMAN OTC DRUG,1046593,28
Uplift Chewable,CAFFEINE,Carolina Cannabis Creations LLC,82876-830,ORAL,HUMAN OTC DRUG,,38
Abacavir,ABACAVIR,American Health Packaging,68084-021,ORAL,HUMAN PRESCRIPTION DRUG,242679,5
loratadine D,"LORATADINE, PSEUDOEPHEDRINE SULFATE",Padagis Israel Pharmaceuticals Ltd,45802-122,ORAL,HUMAN OTC DRUG,1242399,22
Anacardium Occidentale,ANACARDIUM OCCIDENTALE,"Hahnemann Laboratories, INC.",37662-3648,ORAL,HUMAN OTC DRUG,,64
Anacardium Orientale,ANACARDIUM ORIENTALE,"Hahnemann Laboratories, INC.",37662-3656,ORAL,HUMAN OTC DRUG,,75
Penicillamine,PENICILLAMINE,"Endo USA, Inc.",49884-146,ORAL,HUMAN PRESCRIPTION DRUG,198070,17
PANADOL PM,ACETAMINOPHEN AND DIPHENHYDRAMINE HCL,Haleon US Holdings LLC,0135-0608,ORAL,HUMAN OTC DRUG,1092189,73
Methocarbamol,METHOCARBAMOL,Sagent Pharmaceuticals,25021-689,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,238175,86
Equate Ibuprofen,IBUPROFEN,Wal-Mart Stores Inc,49035-553,ORAL,HUMAN OTC DRUG,310965,43
"Brompheniramine Maleate, Pseudoephedrine Hydrochloride and Dextromethorphan Hydrobromide","BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE, AND DEXTROMETHORPHAN HYDROBROMIDE","PAI Holdings, LLC dba PAI Pharma",0121-0933,ORAL,HUMAN PRESCRIPTION DRUG,1357010,87
Atorvastatin calcium,ATORVASTATIN CALCIUM,A-S Medication Solutions,50090-6054,ORAL,HUMAN PRESCRIPTION DRUG,259255,80
Colgate Junior Kids Batman Mild Bubble Fruit Fluoride,SODIUM FLUORIDE,Mission Hills S.A de C.V,65954-585,DENTAL,HUMAN OTC DRUG,416783,25
Phosphorus 30,PHOSPHORUS 30,Uriel Pharmacy Inc.,48951-8023,ORAL,HUMAN OTC DRUG,,80
Entecavir,ENTECAVIR,"Camber Pharmaceuticals, Inc.",31722-833,ORAL,HUMAN PRESCRIPTION DRUG,485434,13
T-23,OLEA EUROPAEA WHOLE,"DNA Labs, Inc.",58264-0268,SUBLINGUAL,HUMAN OTC DRUG,,73
Loperamide Hydrochloride,LOPERAMIDE HYDROCHLORIDE,"Marc Glassman, Inc.",68998-123,ORAL,HUMAN OTC DRUG,978010,75
Oxygen,OXYGEN,"ADF Welding & Medical, Inc.",64922-233,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,312172,86
